model,feature,importance_mean,importance_std
coxnet,first_careunit_Medical Intensive Care Unit (MICU),0.0,0.0
coxnet,first_careunit_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0,0.0
coxnet,first_careunit_Medicine,0.0,0.0
coxnet,first_careunit_Medicine/Cardiology Intermediate,0.0,0.0
coxnet,first_careunit_Neuro Intermediate,0.0,0.0
coxnet,first_careunit_Neuro Stepdown,0.0,0.0
coxnet,first_careunit_Neuro Surgical Intensive Care Unit (Neuro SICU),0.0,0.0
coxnet,first_careunit_Neurology,0.0,0.0
coxnet,first_careunit_PACU,0.0,0.0
coxnet,first_careunit_Surgery/Trauma,0.0,0.0
coxnet,first_careunit_Surgery/Vascular/Intermediate,0.0,0.0
coxnet,first_careunit_Surgical Intensive Care Unit (SICU),0.0,0.0
coxnet,first_careunit_Trauma SICU (TSICU),0.0,0.0
coxnet,last_careunit_Coronary Care Unit (CCU),0.0,0.0
coxnet,last_careunit_Intensive Care Unit (ICU),0.0,0.0
coxnet,last_careunit_Med/Surg,0.0,0.0
coxnet,last_careunit_Medical Intensive Care Unit (MICU),0.0,0.0
coxnet,last_careunit_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0,0.0
coxnet,last_careunit_Medicine,0.0,0.0
coxnet,last_careunit_Medicine/Cardiology Intermediate,0.0,0.0
coxnet,last_careunit_Neuro Intermediate,0.0,0.0
coxnet,last_careunit_Neuro Stepdown,0.0,0.0
coxnet,last_careunit_Neuro Surgical Intensive Care Unit (Neuro SICU),0.0,0.0
coxnet,last_careunit_Neurology,0.0,0.0
coxnet,last_careunit_PACU,0.0,0.0
coxnet,last_careunit_Surgery/Trauma,0.0,0.0
coxnet,last_careunit_Surgery/Vascular/Intermediate,0.0,0.0
coxnet,last_careunit_Surgical Intensive Care Unit (SICU),0.0,0.0
coxnet,last_careunit_Trauma SICU (TSICU),0.0,0.0
coxnet,icu_los_group_3-7d,0.0,0.0
coxnet,icu_los_group_<24h,0.0,0.0
coxnet,icu_los_group_>=7d,0.0,0.0
coxnet,icu_los_group_UNKNOWN,0.0,0.0
coxnet,sbp_max_24h,-2.1672604960665254e-06,3.0649691867327217e-06
coxnet,spo2_max_24h,-2.1672604960665254e-06,3.0649691867327217e-06
coxnet,glucose_slope_24h,-6.501781488199576e-06,1.592604706498111e-05
coxnet,mbp_max_24h,-1.7338083968384172e-05,1.1050903560344095e-05
coxnet,dbp_max_24h,-0.00019722070513994439,0.00010687912759908316
